iter	Passed	Remaining
455	306	13118
456	306	13119
457	307	13115
458	307	13112
459	308	13111
460	309	13112
461	310	13111
462	310	13110
463	311	13110
464	312	13110
465	312	13110
466	313	13110
467	314	13108
468	314	13108
469	315	13109
470	316	13110
471	316	13109
472	317	13109
473	318	13107
474	318	13103
475	319	13100
476	320	13099
477	320	13097
478	321	13095
479	321	13094
480	322	13092
481	323	13090
482	323	13088
483	324	13086
484	325	13085
485	325	13084
486	326	13087
487	327	13087
488	327	13086
489	328	13083
490	329	13084
491	330	13085
492	330	13084
493	331	13084
494	332	13082
495	332	13082
496	333	13087
497	334	13092
498	334	13090
499	335	13091
500	336	13098
501	337	13099
502	337	13098
503	338	13097
504	339	13097
505	339	13095
506	340	13092
507	341	13092
508	341	13090
509	342	13088
510	343	13087
511	343	13084
512	344	13083
513	344	13074
514	345	13071
515	346	13067
516	346	13064
517	347	13060
518	347	13056
519	348	13052
520	349	13050
521	349	13046
522	350	13043
523	350	13039
524	351	13035
525	351	13031
526	352	13027
527	353	13023
528	353	13018
529	354	13014
530	354	13010
531	355	13007
532	356	13003
533	356	13001
534	357	12997
535	357	12994
536	358	12990
537	359	12989
538	359	12986
539	360	12984
540	360	12980
541	361	12977
542	362	12973
543	362	12969
544	363	12966
545	363	12963
546	364	12959
547	365	12958
548	365	12955
549	366	12952
550	366	12948
551	367	12945
552	368	12943
553	368	12941
554	369	12941
555	370	12942
556	370	12944
557	371	12945
558	372	12942
559	372	12941
560	373	12941
561	374	12941
562	374	12938
563	375	12933
564	375	12929
565	376	12927
566	377	12929
567	377	12922
568	378	12917
569	378	12912
570	379	12905
571	379	12901
572	380	12897
573	381	12894
574	381	12893
575	382	12889
576	382	12887
577	383	12882
578	384	12880
579	384	12880
580	385	12878
581	386	12879
582	386	12877
583	387	12876
584	387	12873
585	388	12871
586	389	12871
587	389	12870
588	390	12869
589	391	12869
590	391	12869
591	392	12867
592	393	12865
593	393	12863
594	394	12861
595	394	12858
596	395	12860
597	396	12859
598	397	12858
599	397	12859
600	398	12857
601	398	12856
602	399	12847
603	400	12848
604	400	12847
605	401	12845
606	402	12845
607	402	12846
608	403	12845
609	404	12844
610	404	12843
611	405	12842
612	406	12840
613	406	12839
614	407	12839
615	408	12839
616	408	12838
617	409	12837
618	409	12831
619	410	12831
620	411	12833
621	411	12832
622	412	12832
623	413	12833
624	413	12833
625	414	12832
626	415	12831
627	415	12830
628	416	12828
629	417	12827
630	417	12825
631	418	12824
632	419	12823
633	419	12824
634	420	12825
635	421	12826
636	421	12825
637	422	12825
638	423	12824
639	423	12824
640	424	12823
641	425	12824
642	425	12824
643	426	12819
644	427	12818
645	427	12818
646	428	12819
647	429	12819
648	429	12819
649	430	12819
650	431	12818
651	431	12818
652	432	12818
653	433	12818
654	434	12820
655	434	12820
656	435	12820
657	436	12820
658	436	12819
659	437	12817
660	438	12818
661	438	12817
662	439	12815
663	440	12815
664	440	12816
665	441	12816
666	442	12816
667	442	12816
668	443	12817
669	444	12819
670	445	12820
671	445	12821
672	446	12822
673	447	12823
674	447	12823
675	448	12821
676	449	12821
677	449	12821
678	450	12819
679	451	12816
680	451	12817
681	452	12816
682	453	12814
683	453	12814
684	454	12814
685	455	12811
686	455	12810
687	456	12809
688	457	12808
689	457	12808
690	458	12808
691	459	12808
692	459	12808
693	460	12807
694	461	12806
695	461	12805
696	462	12805
697	463	12805
698	463	12803
699	464	12801
700	464	12799
701	465	12799
702	466	12799
703	466	12798
704	467	12798
705	468	12797
706	469	12799
707	469	12797
708	470	12794
709	470	12792
710	471	12792
711	472	12791
712	472	12791
713	473	12790
714	474	12795
715	475	12793
716	475	12792
717	476	12790
718	477	12791
719	477	12791
720	478	12791
721	478	12781
722	479	12781
723	480	12780
724	480	12779
725	481	12779
726	482	12777
727	482	12775
728	483	12774
729	483	12773
730	484	12775
731	485	12773
732	485	12774
733	486	12775
734	487	12775
735	488	12775
736	488	12774
737	489	12772
738	490	12771
739	490	12772
740	491	12773
741	492	12772
742	492	12770
743	493	12771
744	494	12770
745	494	12769
746	495	12767
747	496	12767
748	496	12766
749	497	12764
750	497	12763
751	498	12762
752	499	12761
753	499	12760
754	500	12758
755	501	12758
756	501	12759
757	502	12757
758	503	12756
759	503	12755
760	504	12754
761	505	12755
762	505	12754
763	506	12753
764	507	12752
765	507	12752
766	508	12751
767	509	12749
768	509	12750
769	510	12746
